Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,Yaw,PositionType
31.058434,0.065328,40.759291,-84.191116,0,0.835512,5442.749,1.137065,4,1,FALSE,FALSE,13.887714,0.470826,3
31.08361,0.066539,40.759294,-84.191112,0,0.816523,5445.183,1.137065,4,1,FALSE,FALSE,13.27863,0.484132,3
31.106524,0.067751,40.759298,-84.191107,0,0.797781,5446.781,1.137065,4,1,FALSE,FALSE,13.071122,0.497657,3
31.127048,0.068964,40.759301,-84.191103,0,0.779285,5446.853,1.137065,4,1,FALSE,FALSE,13.217692,0.511311,3
31.144373,0.070179,40.759305,-84.191099,0,0.75857,5449.8154,1.137065,4,1,FALSE,FALSE,13.053566,0.524973,3
31.16041,0.071393,40.759308,-84.191095,0,0.742047,5451.532,1.137065,4,1,FALSE,FALSE,12.461497,0.538479,3
31.176792,0.072608,40.759312,-84.191091,0,0.722072,5450.9907,1.137065,4,1,FALSE,FALSE,11.801155,0.551711,3
31.190886,0.073823,40.759315,-84.191087,0,0.700617,5456.0586,1.137894,4,1,FALSE,FALSE,11.295912,0.564648,3
31.202929,0.07504,40.759319,-84.191083,0,0.683847,5457.173,1.142453,4,1,FALSE,FALSE,10.930117,0.577252,3
31.213268,0.076257,40.759322,-84.191079,0,0.665105,5457.194,1.151156,4,1,FALSE,FALSE,10.413069,0.589507,3
31.220978,0.077476,40.759326,-84.191075,0,0.645623,5467.602,1.164209,4,1,FALSE,FALSE,10.206388,0.601411,3
31.22616,0.078695,40.759329,-84.191071,0,0.628607,5472.89,1.178091,4,1,FALSE,FALSE,9.936322,0.612926,3
31.22933,0.079915,40.759333,-84.191067,0,0.612577,5478.3345,1.189901,4,1,FALSE,FALSE,9.321293,0.62407,3
31.23073,0.081135,40.759337,-84.191063,0,0.598274,5492.6167,1.199431,4,1,FALSE,FALSE,9.273629,0.634899,3
31.23052,0.082357,40.75934,-84.191059,0,0.584464,5500.1533,1.202745,4,1,FALSE,FALSE,8.885534,0.645461,3
31.2298,0.083578,40.759344,-84.191055,0,0.572873,5508.2354,1.200467,4,1,FALSE,FALSE,8.629094,0.6558,3
31.226849,0.084801,40.759348,-84.191051,0,0.559556,5521.584,1.187208,4,1,FALSE,FALSE,8.835409,0.665982,3
31.222103,0.086026,40.759351,-84.191048,0,0.546732,5525.348,1.165245,4,1,FALSE,FALSE,9.142984,0.676031,3
31.213938,0.08725,40.759355,-84.191044,0,0.53095,5525.201,1.133128,4,1,FALSE,FALSE,10.114755,0.686004,3
31.202824,0.088474,40.759359,-84.19104,0,0.510234,5525.747,1.086501,4,1,FALSE,FALSE,10.572807,0.696022,3
31.189638,0.089699,40.759362,-84.191036,0,0.489026,5518.4385,1.038829,4,1,FALSE,FALSE,10.998311,0.706198,3
31.172205,0.090924,40.759366,-84.191033,0,0.464612,5505.709,0.986381,4,1,FALSE,FALSE,11.675628,0.71665,3
31.15096,0.09215,40.75937,-84.191029,0,0.434772,5492.902,0.918995,4,1,FALSE,FALSE,12.227489,0.727501,3
31.126408,0.093377,40.759374,-84.191025,0,0.406165,5475.784,0.852008,4,1,FALSE,FALSE,12.83008,0.738839,3
31.098593,0.094603,40.759377,-84.191022,0,0.374846,5448.6772,0.77899,4,1,FALSE,FALSE,13.192558,0.750698,3
31.069159,0.095828,40.759381,-84.191018,0,0.337854,5413.7715,0.691221,4,1,FALSE,FALSE,13.698926,0.763076,3
31.036201,0.097052,40.759385,-84.191015,0,0.305302,5372.4663,0.613182,4,1,FALSE,FALSE,14.550323,0.775941,3
31.000494,0.098276,40.759389,-84.191011,0,0.274723,5321.1445,0.525156,4,1,FALSE,FALSE,14.596283,0.789233,3
30.961334,0.099502,40.759393,-84.191008,0,0.258693,5275.5444,0.463066,4,1,FALSE,FALSE,15.027517,0.802909,3
30.918224,0.100727,40.759397,-84.191005,0,0.248089,5227.433,0.387461,4,1,FALSE,FALSE,15.310375,0.816882,3
30.872015,0.101951,40.759401,-84.191001,0,0.245869,5174.882,0.328875,4,1,FALSE,FALSE,15.198676,0.831085,3
30.824156,0.103173,40.759405,-84.190998,0,0.245869,5138.418,0.27007,4,1,FALSE,FALSE,15.11033,0.845453,3
30.772074,0.104394,40.759408,-84.190995,0,0.245869,5101.8286,0.22601,4,1,FALSE,FALSE,15.727162,0.85993,3
30.716154,0.105615,40.759412,-84.190992,0,0.245869,5065.354,0.188804,4,1,FALSE,FALSE,16.054438,0.874497,3
30.658983,0.106837,40.759416,-84.190988,0,0.245869,5038.7954,0.1676,4,1,FALSE,FALSE,15.933526,0.88914,3
30.599874,0.108057,40.75942,-84.190985,0,0.245869,5010.107,0.153672,4,1,FALSE,FALSE,15.82346,0.903837,3
30.539593,0.109275,40.759424,-84.190982,0,0.245869,4983.404,0.145564,4,1,FALSE,FALSE,15.947605,0.918538,3
30.477083,0.110491,40.759428,-84.190979,0,0.245869,4964.032,0.141821,4,1,FALSE,FALSE,16.159052,0.933249,3
30.4114,0.111705,40.759432,-84.190976,0,0.245869,4938.166,0.142029,4,1,FALSE,FALSE,16.256277,0.947929,3
30.344498,0.112919,40.759436,-84.190974,0,0.245869,4914.4634,0.146811,4,1,FALSE,FALSE,16.207903,0.962512,3
30.275608,0.114134,40.75944,-84.190971,0,0.245869,4899.133,0.154711,4,1,FALSE,FALSE,16.242779,0.976957,3
30.204687,0.115346,40.759444,-84.190968,0,0.245869,4875.408,0.169264,4,1,FALSE,FALSE,15.77466,0.991188,3
30.135218,0.116556,40.759448,-84.190965,0,0.244883,4854.8237,0.183399,4,1,FALSE,FALSE,15.510195,1.005142,3
30.066366,0.117764,40.759452,-84.190963,0,0.244883,4840.6055,0.203146,4,1,FALSE,FALSE,15.378328,1.018795,3
29.996872,0.118969,40.759456,-84.19096,0,0.244883,4818.1685,0.222476,4,1,FALSE,FALSE,15.198494,1.03209,3
29.925037,0.120175,40.759461,-84.190958,0,0.245869,4801.1685,0.240559,4,1,FALSE,FALSE,15.08028,1.044977,3
